Temperature (K),AC Moment (emu)
6.59903693199158,1.01596889781002e-05
6.098445653915401,1.0053996465621e-05
5.60226511955261,1.0228487307920098e-05
5.10986971855164,9.96482877942514e-06
4.62034797668457,1.0294219877731e-05
3.91418182849884,9.99352837026989e-06
3.45898449420929,9.97471820928788e-06
2.992396235466,9.972624989632671e-06
2.54399192333221,9.912386242714979e-06
2.08675622940063,9.97512462685023e-06
1.99514067173004,9.92368244532546e-06
2.00012451410294,9.95053343352188e-06
