Interpolated R,Interpolated T
3674.662766,0.138351539
3675.105071,0.138311322
3675.547376,0.138271127
3675.98968,0.138230957
3676.431985,0.13819081
3676.87429,0.138150686
3677.316595,0.138110587
3677.7589,0.13807051
3678.201204,0.138030458
3678.643509,0.137990429
3679.085814,0.137950423
3679.528119,0.137910441
3679.970423,0.137870483
3680.412728,0.137830548
3680.855033,0.137790637
3681.297338,0.137750749
3681.739642,0.137710885
3682.181947,0.137671045
3682.624252,0.137631228
3683.066557,0.137591434
3683.508862,0.137551664
3683.951166,0.137511918
3684.393471,0.137472195
3684.835776,0.137432495
3685.278081,0.137392819
3685.720385,0.137353167
3686.16269,0.137313538
3686.604995,0.137273932
3687.0473,0.13723435
3687.489605,0.137194791
3687.931909,0.137155256
3688.374214,0.137115744
3688.816519,0.137076256
3689.258824,0.137036791
3689.701128,0.136997349
3690.143433,0.136957931
3690.585738,0.136918536
3691.028043,0.136879165
3691.470347,0.136839817
3691.912652,0.136800493
3692.354957,0.136761192
3692.797262,0.136721914
3693.239567,0.136682659
3693.681871,0.136643428
3694.124176,0.136604221
3694.566481,0.136565036
3695.008786,0.136525875
3695.45109,0.136486738
3695.893395,0.136447623
3696.3357,0.136408532
3696.778005,0.136369465
3697.220309,0.13633042
3697.662614,0.136291399
3698.104919,0.136252402
3698.547224,0.136213427
3698.989529,0.136174476
3699.431833,0.136135548
3699.874138,0.136096643
3700.316443,0.136057762
3700.758748,0.136018904
3701.201052,0.135980069
3701.643357,0.135941257
3702.085662,0.135902469
3702.527967,0.135863704
3702.970271,0.135824962
3703.412576,0.135786243
3703.854881,0.135747548
3704.297186,0.135708875
3704.739491,0.135670226
3705.181795,0.1356316
3705.6241,0.135592998
3706.066405,0.135554418
3706.50871,0.135515862
3706.951014,0.135477329
3707.393319,0.135438819
3707.835624,0.135400332
3708.277929,0.135361868
3708.720233,0.135323427
3709.162538,0.13528501
3709.604843,0.135246615
3710.047148,0.135208244
3710.489453,0.135169896
3710.931757,0.135131571
3711.374062,0.135093269
3711.816367,0.13505499
3712.258672,0.135016735
3712.700976,0.134978502
3713.143281,0.134940292
3713.585586,0.134902106
3714.027891,0.134863942
3714.470195,0.134825802
3714.9125,0.134787685
3715.354805,0.13474959
3715.79711,0.134711519
3716.239415,0.134673471
3716.681719,0.134635446
3717.124024,0.134597444
3717.566329,0.134559464
3718.008634,0.134521508
3718.450938,0.134483575
3718.893243,0.134445665
3719.335548,0.134407778
3719.777853,0.134369913
3720.220158,0.134332072
3720.662462,0.134294254
3721.104767,0.134256458
3721.547072,0.134218686
3721.989377,0.134180936
3722.431681,0.13414321
3722.873986,0.134105506
3723.316291,0.134067826
3723.758596,0.134030168
3724.2009,0.133992533
3724.643205,0.133954921
3725.08551,0.133917332
3725.527815,0.133879766
3725.97012,0.133842223
3726.412424,0.133804702
3726.854729,0.133767205
3727.297034,0.13372973
3727.739339,0.133692278
3728.181643,0.133654849
3728.623948,0.133617443
3729.066253,0.13358006
3729.508558,0.133542699
3729.950862,0.133505362
3730.393167,0.133468047
3730.835472,0.133430755
3731.277777,0.133393486
3731.720082,0.133356239
3732.162386,0.133319016
3732.604691,0.133281815
3733.046996,0.133244637
3733.489301,0.133207482
3733.931605,0.133170349
3734.37391,0.133133239
3734.816215,0.133096152
3735.25852,0.133059088
3735.700824,0.133022047
3736.143129,0.132985028
3736.585434,0.132948032
3737.027739,0.132911059
